cig,label,score_raw_final,score_calib_final,rank_pct_global,rank_pct_within_U
6873707A73,,0.0072257097435849,0.3434670823036559,17.56,18.27
6647028507,,0.0072257097435849,0.3434670823036559,17.56,18.27
684442997B,,0.0072257097435849,0.3434670823036559,17.56,18.27
68904009F3,,0.0080510521613166,0.3440672364295037,44.55,46.32
68790091CF,,0.0073076184958013,0.3435266205789845,37.11,38.6
684801049F,,0.0075916709751029,0.3437331322791719,41.16,42.8
6853990B77,,0.0701341459903849,0.3905249480192265,94.53,96.88
6878234242,,0.0072257097435849,0.3434670823036559,17.56,18.27
6859306E5D,,0.0072257097435849,0.3434670823036559,17.56,18.27
686369002C,,0.0074449696112199,0.3436264701387361,39.5,41.08
6913646928,,0.0553434966213682,0.37923854114699,92.23,94.97
6918590913,,0.0163972190251655,0.3501639453934297,72.46,75.29
6899791FA4,,0.0076479364327907,0.3437740453808241,42.02,43.69
6905876D25,,0.0075669033018446,0.3437151233440664,40.82,42.45
6901710F40,,0.0112408623167742,0.3463914009538131,59.77,62.12
6901590C3A,,0.0072257097435849,0.3434670823036559,17.56,18.27
68898281EE,,0.0186948409192163,0.3518510436263438,77.03,79.98
6940658C29,,0.0168678271622464,0.3505092001484932,73.64,76.52
6922336C5E,,0.014496382648403,0.3487710245008281,67.61,70.26
690328964B,,0.0112795331401789,0.3464196226401727,59.92,62.28
69316946D7,,0.0087669044959411,0.3445881774456529,47.09,48.97
69221746B0,,0.0072257097435849,0.3434670823036559,17.56,18.27
6911654D4D,,0.0313670887780112,0.3612216790191966,85.62,88.58
6914790937,,0.0115583389082516,0.3466231250362045,60.78,63.18
64673008C9,,0.0142932258347281,0.3486223046811274,67.25,69.89
68933815F4,,0.0111048752058436,0.3462921671301155,59.42,61.77
6928643115,,0.0304562194312639,0.3605444911082436,85.18,88.15
6917210644,,0.0129832965682723,0.3476640871303545,64.52,67.06
690152676B,,0.0097436321484531,0.3452995656869972,54.04,56.18
6933544D80,,0.1802086209471698,0.4774407017086742,98.4,99.62
7606741141,,0.0075655262452506,0.3437141220793948,40.54,42.16
7233750756,,0.0164716502087907,0.3502185403007503,72.71,75.55
6906010BBA,,0.0128154760460413,0.3475414147598059,63.88,66.39
686061783E,,0.0170112179751007,0.3506144278585961,74.03,76.92
6893414131,,0.0115994512422882,0.3466531379817156,60.86,63.27
6927086C31,,0.0072257097435849,0.3434670823036559,17.56,18.27
680145630C,,0.0119196057931728,0.3468868998585907,61.67,64.1
6914931D91,,0.0096937817501453,0.345263240917732,53.55,55.68
6908587A56,,0.0227394043369523,0.3548298696477621,81.14,84.1
69079046B6,,0.0112371375235393,0.3463886826837922,59.75,62.1
6922954A5C,,0.0090719988065004,0.3448103147338611,48.76,50.7
689039342E,,0.0073471221484641,0.3435553369655153,37.94,39.46
7106221F11,,0.0072257097435849,0.3434670823036559,17.56,18.27
68845259BF,,0.0072257097435849,0.3434670823036559,17.56,18.27
6908409773,,0.0072257097435849,0.3434670823036559,17.56,18.27
6916227B10,,0.0180663748696041,0.3513892037892364,75.96,78.9
6902366C9A,,0.0072269424141102,0.3434679782773843,35.3,36.72
69187648AA,,0.0072257097435849,0.3434670823036559,17.56,18.27
68478039CB,,0.0163463811270389,0.3501266583009619,72.33,75.16
68966152BD,,0.0099190678209153,0.3454274157412997,54.82,57.0
6936102C6E,,0.0090719988065004,0.3448103147338611,48.76,50.7
6907404A18,,0.0604522881690933,0.3831228739931776,93.18,95.79
68927236F4,,0.0072257097435849,0.3434670823036559,17.56,18.27
69160400C2,,0.0239172342224458,0.3556994751206167,82.03,84.99
6941864F61,,0.0072257097435849,0.3434670823036559,17.56,18.27
691670665A,,0.0267650150777745,0.3578059545948323,83.52,86.49
6861628A8B,,0.0190056076308631,0.3520795187639558,77.45,80.41
6817598BD6,,0.011629202008743,0.3466748574834251,60.94,63.34
68951623AF,,0.015521434514367,0.3495218568662656,70.17,72.91
68991541FD,,0.0391300569891047,0.3670152478478393,88.66,91.55
7006098EF4,,0.0173511883148714,0.3508639740078635,74.72,77.62
691946397F,,0.0183688994382446,0.3516114848758349,76.48,79.42
690027925E,,0.0139532353828053,0.3483734825212725,66.42,69.03
690000938E,,0.0080525065508701,0.344068294440239,44.57,46.35
6888889B08,,0.0072525347498672,0.3434865804669849,35.58,37.01
691833784B,,0.0126890135484656,0.3474489873800709,63.66,66.17
69325877C4,,0.0087669044959411,0.3445881774456529,47.09,48.97
6896624A28,,0.0177580570110303,0.3511627323382595,75.4,78.31
