cig,score_mean,score_lower,score_upper,pc_mean,pc_lower,pc_upper,lift_vs_prior,percentile_rank
720827370D,0.350513,0.342059,0.39145,0.014473,0.013949,0.017202,0.7236,62.27
955314724C,0.350511,0.342272,0.391414,0.014472,0.013962,0.0172,0.7236,62.23
924615587A,0.350509,0.342033,0.391414,0.014472,0.013948,0.0172,0.7236,62.2
662706288F,0.350507,0.342242,0.391414,0.014472,0.013961,0.0172,0.7236,62.17
A0497B7BD7,0.350504,0.342214,0.391414,0.014472,0.013959,0.0172,0.7236,62.13
9566661267,0.350501,0.341892,0.391414,0.014472,0.013939,0.0172,0.7236,62.1
2742269FF3,0.350499,0.342318,0.391414,0.014472,0.013965,0.0172,0.7236,62.07
2488309989,0.350498,0.342227,0.391414,0.014472,0.01396,0.0172,0.7236,62.03
79879790CE,0.350494,0.342878,0.391442,0.014471,0.014,0.017202,0.7235,62.0
772908745D,0.350486,0.342242,0.391414,0.014471,0.013961,0.0172,0.7235,61.97
A038932E74,0.350484,0.342046,0.391414,0.014471,0.013949,0.0172,0.7235,61.93
87367588C6,0.350473,0.342133,0.391414,0.01447,0.013954,0.0172,0.7235,61.9
7352858A5D,0.350467,0.341939,0.411295,0.01447,0.013942,0.018656,0.7235,61.87
7368811733,0.350465,0.341326,0.412029,0.01447,0.013905,0.018712,0.7235,61.83
75851263FD,0.350464,0.341853,0.391414,0.014469,0.013937,0.0172,0.7234,61.8
B0B59117D2,0.350461,0.341894,0.391414,0.014469,0.013939,0.0172,0.7234,61.75
9614289A43,0.350461,0.342307,0.411295,0.014469,0.013965,0.018656,0.7234,61.75
538697720D,0.35045,0.342387,0.391432,0.014469,0.013969,0.017201,0.7234,61.7
8892755593,0.350448,0.342437,0.391414,0.014468,0.013973,0.0172,0.7234,61.67
52879309DF,0.350402,0.341825,0.391414,0.014466,0.013935,0.0172,0.7233,61.63
B2EC42F3CF,0.350395,0.340927,0.391432,0.014465,0.01388,0.017201,0.7233,61.6
82316658D8,0.350391,0.341956,0.391414,0.014465,0.013943,0.0172,0.7233,61.57
A05F133625,0.350388,0.342024,0.391414,0.014465,0.013947,0.0172,0.7233,61.53
729394302E,0.350387,0.341756,0.411295,0.014465,0.013931,0.018656,0.7233,61.5
A025114D3D,0.350384,0.341963,0.391414,0.014464,0.013944,0.0172,0.7232,61.47
733819346E,0.350379,0.342023,0.391414,0.014464,0.013947,0.0172,0.7232,61.43
7070269A8B,0.350363,0.342116,0.391414,0.014463,0.013953,0.0172,0.7232,61.35
7738218381,0.350363,0.341952,0.391414,0.014463,0.013943,0.0172,0.7232,61.35
9555149665,0.350363,0.342063,0.391414,0.014463,0.01395,0.0172,0.7232,61.35
B0053F6B0C,0.350363,0.341381,0.391432,0.014463,0.013908,0.017201,0.7232,61.35
0401459E6E,0.350362,0.343054,0.391414,0.014463,0.01401,0.0172,0.7232,61.27
88938236EA,0.350357,0.342227,0.391414,0.014463,0.01396,0.0172,0.7232,61.23
B195D8F915,0.350331,0.341955,0.391414,0.014461,0.013943,0.0172,0.723,61.2
50653055EA,0.350328,0.341907,0.411271,0.014461,0.01394,0.018654,0.723,61.17
94913627B2,0.350321,0.341916,0.391414,0.014461,0.013941,0.0172,0.723,61.12
28477261D6,0.350321,0.34213,0.391414,0.014461,0.013954,0.0172,0.723,61.12
B2FA76EB54,0.350319,0.34189,0.39379,0.01446,0.013939,0.017369,0.723,61.05
893141874A,0.350319,0.342254,0.391414,0.01446,0.013961,0.0172,0.723,61.05
